NodeID,Focused_or_Related,Chinese_Name,English_Name,Pinyin_Name,YOB,YOB_ReferenceA,YOB_ReferenceB,YOB_ReferenceC,YOD,YOD_ReferenceA,YOD_ReferenceB,YOD_ReferenceC,Dialect_Group_Chinese,Dialect_Group_English,Node_Size,Hometown_in_Details_Chinese,Hometown_in_Details_English,Search_by_Place_of_Origin_Chinese,Search_by_Place_of_Origin_English,Search_by_Place_of_Birth_Chinese,Search_by_Place_of_Birth_English,NLB_Link,Reference1,Reference1Link,Reference2_Chinese,Reference2_English,Reference2Link,Reference2_Complete_Index1,Reference2_Short_Index 2
0,Focused,李大傻,Lee Dai Soh,Li Dasha,1913,"1913, 新华历史人物列传, p41",Nil,Nil,1989,"1989, 新华历史人物列传, p41",Nil,Nil,粤,Canton,100,广东省东莞县,"Dongguan County, Guangdong Province",广东,Guangdong,新加坡,Singapore,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/Q5Qds91-jkY&label=Lee,%20Dai%20Soh",《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
1,Related,孙中山,Sun Yat-sen,Sun Zhongshan,1866,Nil,Nil,Nil,1925,Nil,Nil,Nil,粤,Canton,1,广东省东莞县,"Dongguan County, Guangdong Province",广东,Guangdong,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,《新加坡华人百年史》,One Hundred Years’ History of the Chinese in Singapore,http://www.nas.gov.sg/citizenarchivist/Annotate/LoadFile?fileId=43edc08a-73f5-4622-b290-3916b869233d,"p.xi, xvi, 49, 50, 147, 622, 623, 624, 671, 672, 674, 731, 810, 823","p.xi, xvi, etc."
2,Related,蔡志民,Nil,Cai Zhimin,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,潮,Teochew,1,广东省丰顺县,"Fengshun County, Guangdong Province",广东,Guangdong,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
3,Related,伍伯胜,Nil,Wu Bosheng,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,粤,Canton,1,广东省台山县,"Taishan County, Guangdong Province",广东,Guangdong,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
4,Focused,伍连德,Wu Lien-Teh,Wu Liande,1879,"1879, 新华历史人物列传, p36",Nil,Nil,1960,"1960, 新华历史人物列传, p36",Nil,Nil,粤,Canton,100,广东省台山县,"Taishan County, Guangdong Province",广东,Guangdong,槟榔屿,Penang Island,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/B2qupuNihiQ&label=Wu,%20Lien-the",《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,《新加坡华人百年史》,One Hundred Years’ History of the Chinese in Singapore,http://www.nas.gov.sg/citizenarchivist/Annotate/LoadFile?fileId=43edc08a-73f5-4622-b290-3916b869233d,"p.327, 332, 332, 807","p.327, 332, etc."
5,Related,陈梦桃,Nil,Chen Mengtao,Nil,Nil,Nil,Nil,1919,Nil,Nil,Nil,客,Hakka,1,广东省嘉应州,"Jiaying Prefecture, Guangdong Province",广东,Guangdong,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
6,Related,徐统雄,Nil,Xu Tongxiong,1876,Nil,Nil,Nil,1937,Nil,Nil,Nil,客,Hakka,1,广东省大埔县,"Dapu County, Guangdong Province",广东,Guangdong,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
7,Related,陈瑞麟,Nil,Chen Ruilin,1892,Nil,Nil,Nil,1962,Nil,Nil,Nil,客,Hakka,1,广东省梅县,"Mei County, Guangdong Province",广东,Guangdong,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
8,Focused,杨缵文,Yeo Chan Boon,Yang Zuanwen,1881,"1881, 新华历史人物列传, p59",Nil,Nil,1967,"1967, 新华历史人物列传, p59",Nil,Nil,潮,Teochew,100,广东省潮安县,"Chao'an County, Guangdong Province",广东,Guangdong,暂无,Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/b-xMhjjoBI4&label=Yeo,%20Chan%20Boon",《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
9,Related,林忠国,Nil,Lin Zhongguo,1902,Nil,Nil,Nil,1938,Nil,Nil,Nil,潮,Teochew,1,广东省澄海县,"Chenghai County, Guangdong Province",广东,Guangdong,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
10,Focused,林义顺,Lim Nee Soon,Lin Yishun,1879,"1879, 新华历史人物列传, p118","1879, One hundred years' history of the Chinese in Singapore",Nil,1936,"1936, 新华历史人物列传, p118","1936, One hundred years' history of the Chinese in Singapore",Nil,潮,Teochew,100,广东省澄海县,"Chenghai County, Guangdong Province",广东,Guangdong,新加坡,Singapore,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/1i9pktGnrno&label=Lim,%20Nee%20Soon",《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,《新加坡华人百年史》,One Hundred Years’ History of the Chinese in Singapore,http://www.nas.gov.sg/citizenarchivist/Annotate/LoadFile?fileId=43edc08a-73f5-4622-b290-3916b869233d,"p.xvii, xxxiv, 49, 362, 526, 673, 727, 728, 729, 731, 732, 762, 813","p.xvii, xxxiv, etc."
11,Related,陈烈三,Nil,Chen Liesan,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,琼,Hainan,1,广东省琼州,"Qiongzhou, Guangdong Province",广东,Guangdong,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
12,Related,符和谦,Nil,Fu Heqian,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,琼,Hainan,1,广东省琼州,"Qiongzhou, Guangdong Province",广东,Guangdong,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
13,Related,林耀翔,Nil,Lin Yao xiang,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,粤,Canton,1,广东省番禺,"Panyu, Guangdong Province",广东,Guangdong,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
14,Focused,张永福,Teo Eng Hock,Zhang Yongfu,1871,"1871, 新华历史人物列传, p109","1871, One hundred years' history of the Chinese in Singapore",Nil,1957,"1957, 新华历史人物列传, p109","1958, One hundred years' history of the Chinese in Singapore",Nil,潮,Teochew,100,广东省饶平,"Raoping, Guangdong Province",广东,Guangdong,暂无,Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/txI7QzP9nOo&label=Teo,%20Eng%20Hock",《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,《新加坡华人百年史》,One Hundred Years’ History of the Chinese in Singapore,http://www.nas.gov.sg/citizenarchivist/Annotate/LoadFile?fileId=43edc08a-73f5-4622-b290-3916b869233d,"p.xxxviii, 49, 525, 673, 827","p.xxxviii, 49, etc."
15,Related,胡愈之,Nil,Hu Yuzhi,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,三江,Sam Kiang,1,浙江省上虞县,"Shangyu County, Zhejiang Province",浙江,Zhejiang,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
16,Related,池传楹,Nil,Chi Chuanying,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,三江,Sam Kiang,1,浙江省平阳县,"Pingyang County, Zhejiang Province",浙江,Zhejiang,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
17,Related,陈岳书,Nil,Chen Yueshu,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,三江,Sam Kiang,1,浙江省苍南县,"Cangnan County, Zhejiang Province",浙江,Zhejiang,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
18,Related,涂开舆,Nil,Tu Kaiyu,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,三江,Sam Kiang,1,湖南,Hunan,湖南,Hunan,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
19,Related,马徽祥,Nil,Ma Huixiang,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,闽,Hokkien,1,福建省东山县,"Dongshan County, Fujian Province",福建,Fujian,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
20,Focused,李光前,Lee Kong Chian,Li Guangqian,1893,"1893, 新华历史人物列传, p43",Nil,Nil,1967,"1967, 新华历史人物列传, p43",Nil,Nil,闽,Hokkien,100,福建省南安县,"Nan'an County, Fujian Province",福建,Fujian,暂无,Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/J-1o-8u7kOY&label=Lee,%20Kong%20Chian",《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
21,Related,李玉荣,Nil,Li Yurong,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,闽,Hokkien,1,福建省南安县,"Nan'an County, Fujian Province",福建,Fujian,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
22,Related,李成义,Nil,Li Chengyi,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,闽,Hokkien,1,福建省南安县,"Nan'an County, Fujian Province",福建,Fujian,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
23,Related,李成伟,Nil,Li Chengwei,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,闽,Hokkien,1,福建省南安县,"Nan'an County, Fujian Province",福建,Fujian,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
24,Related,刘牡丹,Nil,Liu Mudan,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,闽,Hokkien,1,福建省南安县,"Nan'an County, Fujian Province",福建,Fujian,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
25,Focused,周献瑞,Chew Hian Swee,Zhou Xianrui,1887,"1887, 新华历史人物列传, p141",Nil,Nil,1964,"1964, 新华历史人物列传, p141",Nil,Nil,闽,Hokkien,100,福建省南安县,"Nan'an County, Fujian Province",福建,Fujian,厦门,Xiamen,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/UI5zG3xB2pA&label=Chew,%20Hian%20Swee",《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
26,Focused,黄奕欢,Ng Aik Huan,Huang Yihuan,1908,"1908, 新华历史人物列传, p178",Nil,Nil,1985,"1985, 新华历史人物列传, p178",Nil,Nil,闽,Hokkien,100,福建省南安县,"Nan'an County, Fujian Province",福建,Fujian,暂无,Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/V2aKr9w3K1w&label=Ng,%20Aik%20Huan",《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
27,Related,高云览,Nil,Gao Yunlan,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,闽,Hokkien,1,福建省厦门市,"Xiamen City, Fujian Province",福建,Fujian,厦门,Xiamen,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
28,Focused,何葆仁,Ho Pao Jin,He Baoren,1895,"1895, 新华历史人物列传, p100",Nil,Nil,1978,"1978, 新华历史人物列传, p100",Nil,Nil,闽,Hokkien,100,福建省厦门市,"Xiamen City, Fujian Province",福建,Fujian,暂无,Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/1XJWymygTBA&label=Ho,%20Pao%20Jin",《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
29,Related,陈森茂,Nil,Chen Senmao,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,闽,Hokkien,1,福建省厦门市,"Xiamen City, Fujian Province",福建,Fujian,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
30,Related,王锦良,Nil,Wang Jinliang,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,闽,Hokkien,1,福建省同安县,"Tong'an County, Fujian Province",福建,Fujian,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
31,Related,叶清沙,Nil,Ye Qingsha,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,闽,Hokkien,1,福建省同安县,"Tong'an County, Fujian Province",福建,Fujian,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
32,Focused,陈嘉庚,Tan Kah Kee,Chen Jiageng,1874,"1874, 新华历史人物列传, p96",Nil,Nil,1961,"1961, 新华历史人物列传, p96",Nil,Nil,闽,Hokkien,100,福建省同安县,"Tong'an County, Fujian Province",福建,Fujian,集美,Jimei,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/_am9agz0qak&label=Tan,%20Kah%20Kee",《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,《新加坡华人百年史》,One Hundred Years’ History of the Chinese in Singapore,http://www.nas.gov.sg/citizenarchivist/Annotate/LoadFile?fileId=43edc08a-73f5-4622-b290-3916b869233d,"p.49, 64, 616, 617, 618, 729, 731, 732, 763, 778, 825","p.49, 64, etc."
33,Focused,陈六使,Tan Lark Sye,Chen Liushi,1897,"1897, 新华历史人物列传, p69",Nil,Nil,1972,"1972, 新华历史人物列传, p69",Nil,Nil,闽,Hokkien,100,福建省同安县,"Tong'an County, Fujian Province",福建,Fujian,集美,Jimei,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/AOn3Waeg1g8&label=Tan,%20Lark%20Sye",《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
34,Related,陈敬贤,Nil,Chen Jingxian,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,闽,Hokkien,1,福建省同安县,"Tong'an County, Fujian Province",福建,Fujian,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
35,Related,陈笃山,Nil,Chen Dushan,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,闽,Hokkien,1,福建省同安县,"Tong'an County, Fujian Province",福建,Fujian,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
36,Related,陈赐曲,Nil,Chen Ciqu,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,闽,Hokkien,1,福建省同安县,"Tong'an County, Fujian Province",福建,Fujian,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
37,Related,陈共存,Nil,Chen Gongcun,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,闽,Hokkien,1,福建省同安县,"Tong'an County, Fujian Province",福建,Fujian,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
38,Related,陈丽好,Nil,Chen Lihao,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,闽,Hokkien,1,福建省同安县,"Tong'an County, Fujian Province",福建,Fujian,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
39,Related,陈万安,Nil,Chen Wanan,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,闽,Hokkien,1,福建省同安县,"Tong'an County, Fujian Province",福建,Fujian,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
40,Related,叶玉堆,Nil,Ye Yudui,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,闽,Hokkien,1,福建省同安县,"Tong'an County, Fujian Province",福建,Fujian,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
41,Related,林汉河,Nil,Lin Hanhe,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,闽,Hokkien,1,福建省同安县,"Tong'an County, Fujian Province",福建,Fujian,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
42,Related,陈爱礼,Nil,Chen Aili,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,闽,Hokkien,1,福建省同安县,"Tong'an County, Fujian Province",福建,Fujian,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
43,Related,吴瑞甫,Nil,Wu Ruifu,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,闽,Hokkien,1,福建省同安县,"Tong'an County, Fujian Province",福建,Fujian,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
44,Related,陈杞柏,Nil,Chen Qibai,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,闽,Hokkien,1,福建省同安县,"Tong'an County, Fujian Province",福建,Fujian,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
45,Focused,陈延谦,Tan Ean Kiam,Chen Yanqian,1881,"1881, 新华历史人物列传, p79",Nil,Nil,1943,"1943, 新华历史人物列传, p79",Nil,Nil,闽,Hokkien,100,福建省同安县,"Tong'an County, Fujian Province",福建,Fujian,暂无,Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/oVaXZ5-vKx8&label=Tan,%20Ean%20Kiam",《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,《新加坡华人百年史》,One Hundred Years’ History of the Chinese in Singapore,http://www.nas.gov.sg/citizenarchivist/Annotate/LoadFile?fileId=43edc08a-73f5-4622-b290-3916b869233d,p.790,p.790.
46,Related,蒋骥甫,Nil,Jiang Jifu,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,闽,Hokkien,1,福建省同安县,"Tong'an County, Fujian Province",福建,Fujian,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
47,Related,赖琼瑶,Nil,Lai Qiongyao,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,闽,Hokkien,1,福建省安海镇,"Anhai Town, Fujian Province",福建,Fujian,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
48,Related,庄希泉,Nil,Zhuang Xiquan,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,闽,Hokkien,1,福建省安溪县,"Anxi County, Fujian Province",福建,Fujian,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
49,Related,林庆年,Nil,Lin Qingnian,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,闽,Hokkien,1,福建省安溪县,"Anxi County, Fujian Province",福建,Fujian,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,《新华历史人物列传》,http://eresources.nlb.gov.sg/printheritage/detail/de2a46b2-042b-42f5-9551-8ced76823236.aspx,暂无,Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html,Nil,Nil
